age	sex	height (in.)	weight (lb.)	height (cm.)	weight (kg.)	Shqip	Euskera	中文 (Simplified)	中文 (Traditional)	Hrvatska	Dansk	English (GB)	English (US)	فارسى	Suomi	Français	Gailge	Deutsch	Ελληνικά	Magyar	Íslenska	India	Italiano	日本語	한국어	Македонија	Norsk	Português	Русский язык	Srbija	Slovenščina	Español	Svenska	Tiếng Việt
13	F	61	107	155	49	Blerta	Ahuña	蔼	佩佩	Ana	Anna	Aimee	Alice	آیسا	Aino	Adélaïde	Áine	Anna	Αβηιχα	Apollónia	Anna	Aanya	Angelica	葵	영숙	Александра	Berit	Angélica	Аделаида	Aleksandra	Alojzija	Alma	Anita	Anh Đào
15	F	64	112	163	51	Cyme	Adoniñe	安	姗姗	Ema	Anne	Amy	Amy	افسانه	Anneli	Adèle	Bébhinn	Antonia	Αβροξενα	Barbara	Ásta	Aaradhya	Arianna	亜美	선영	Анастасија	Bjørg	Bárbara	Анна	Ana	Amalija	Angélica	Anna	Anh Thư
13	F	60	112	152	51	Dafina	Bilebañe	芳	安娜	Ivana	Bente	Anna	Barbara	اندیشه	Aurora	Anaïs	Bláthnaid	Annika	Βαναυσις	Kata	Elín	Aarohi	Barbara	彩花	정희	Ангела	Ingebjørg	Cecília	Валентина	Anastasija	Ana	Bárbara	Birgitta	Bấc
14	F	63	84	160	38	Dielona	Burtzeña	淑芬	寶珠	Kristina	Else	Aoife	Carol	نادره	Elina	Cécile	Dáirine	Charlotte	Γαλατεια	Katerina	Erla	Akshara	Clara	杏	미자	Билјана	Johanne	Cláudia	Вера	Anđela	Angela	Belén	Christina	Bạch Tuyểt
14	F	62	91	157	41	Ellvana	Deiñe	菊	小蘭	Lana	Hanne	Caitlin	Elizabeth	بهشته	Emilia	Éléonore	Éibhleann	Clara	Ειρηνη	Krisztina	Guðbjörg	Anahita	Elisabetta	さくら	서연	Весна	Jorunn	Consuelo	Зинаида	Anja	Antonija	Brianna	Emma	Bảo Châu
12	F	66	145	168	66	Furtuna	Egokiñe	兰	小鳳	Laura	Helle	Chloe	Jaclyn	تبسم	Eveliina	Élisabeth	Étaín	Emily	Fισοκλια	Dorottya	Guðný	Ananya	Francesca	詩織	서현	Виолета	Kajsa	Dorotéia	Изабэлла	Iva	Cecilija	Camila	Gunilla	Chín
12	F	55	74	140	34	Genta	Elixabete	丽丽	惠娟	Lucija	Inge	Ellie	Jane	توسکا	Hannele	Françoise	Féthnaid	Emma	Ζωιλα	Dusánka	Guðrún	Anvi	Giovanna	千尋	민서	Елена	Kjersti	Flaviana	Капитолина	Jana	Elizabeta	Carolina	Ingegärd	Cúc
14	F	61	81	155	37	Hënor	Erdaiñe	梅	淑儀	Maja	Inger	Emma	Judy	روژین	Helena	Geneviève	Fionúir	Franziska	Σατυρα	Erzsébet	Helga	Aparna	Irene	夏実	서윤	Ивана	Lasse	Gabriela	Лариса	Jelena	Frančiška	Catalina	Ingrid	Dậu
12	F	59	95	150	43	Jonida	Garbiñe	敏	燕玲	Marija	Jette	Erin	Katie	زرّین تاج	Johanna	Hortense	Geiléis	Greta	Ζωσιμη	Fruzsina	Hildur	Bharati	Laura	奈々子	지우	Јана	Lilli	Ildete	Маргарита	Jovana	Helena	Daniela	Johanna	Diễm
14	F	65	142	165	65	Kleida	Gisela	娜	绮華	Marina	Karen	Hannah	Leslie	زیبادخت	Julia	Jacqueline	Gráinne	Hannah	Ηγησανδρα	Katalin	Ingibjörg	Diya	Loredana	遥	지민	Јована	Linnea	Inês	Марина	Katarina	Ivana	Débora	Kristina	Én
12	F	52	64	132	29	Lëndina	Idoibaltzaga	暖	美媚	Martina	Kirsten	Katie	Lillie	سروشه	Kaarina	Joséphine	Líadan	Isabelle	Ηρακλεια	Kriszta	Jóhanna	Madhavi	Lidia	陽菜	윤서	Катерина	Lovise	Júlia	Надя	Kristina	Jožefa	Diana	Linnéa	Hà
17	F	62	116	157	53	Marsela	Iñaki	娜	美玲	Mia	Lene	Lauren	Linda	سلما	Karoliina	Juliette	Meallá	Jana	Ιεροκλεια	Margaréta	Katrín	Manisha	Lucia	瞳	하은	Маја	Malin	Lucía	Ольга	Marija	Julijana	Elana	Malin	Kiều Diễm
12	F	61	123	155	56	Rexhina	Kattarin	淑	美鳳	Mirjana	Lone	Leah	Louise	شکوفه	Katariina	Laetitia	Móirne	Johanna	Καλλικρατεια	Örzse	Kristín	Navya	Monica	日名子	지윤	Марија	Marit	Luisa	Саша	Milica	Justina	Emilia	Matilda	Kim Anh
16	F	60	115	152	52	Rezarta	Larrañe	秀	芳芳	Nika	Maria	Lucy	Marion	طیبه	Kristiina	Manon	Nárbhflaith	Katharina	Καλλινικα	Patricia	Margrét	Nirupama	Nadia	舞	은서	Наташа	Ragne	Maria	Светлана	Mirjana	Karolina	Emma	Märta	Kim Điệp
16	F	65	112	165	51	Salie	Lupe	雅	莉莉	Petra	Marianne	Megan	Martha	غزاله	Maarit	Margaux	Órnait	Lara	Λαις	Petronella	María	Pari	Patrizia	真央	수빈	Сара	Veslemøy	Natalia	София	Sara	Katarina	Fátima	Sara	Le
15	F	62	92	157	42	Xhesika	Maite	红艳	雅麗	Sanja	Mette	Niamh	Mary	چیستا	Maria	Marie	Róinseach	Mila	Λαμπρις	Szofi	Ragnheiður	Prisha	Pia	美咲	혜진	Снежана	Viktoria	Palmira	Тамара	Tamara	Kristina	Hilda	Solveig	Oanh
14	F	62	85	157	39	Xhuliana	Mina	洋洋	麗玲	Sara	Pia	Rachel	Patty	چمانه	Olivia	Océane	Sárnait	Pia	Ξεναινα	Szofia	Sigríður	Radhika	Romina	瑞希	지현	Сузана	Åse	Samira	Татьяна	Teodora	Ljudmila	Ivette	Sonja	Phi Yển
13	F	56	67	142	30	Yeta	Nerea	英	麗霞	Vesna	Susanne	Rebecca	Susan	یاسمن	Päivi	Thérèse	Úna	Sophie	Παραμονα	Zsuzsanna	Sigrún	Riya	Stefania	桃子	현정	Тања	Åshild	Antônio	Юлия	Tijana	Marija	Jessica	Ulla	Phương Thẚo
14	M	64	99	163	45	Arbënor	Enete	安	俊傑	Ante	Anders	Aaron	Alfred	ادریس	Aleksi	André	Ádhamhnán	Andreas	Αβρομαχος	Ambrus	Arnar	Aarav	Alessio	和樹	영식	Александар	Asbjørn	Áurea	Александр	Aleksa	Alojz	Aarón	Alf	Anh Kiệt
14	M	64	99	163	45	Bekim	Elorri	超	偉倫	Antonio	Christian	Adam	Chris	افراسیاب	Antero	Christophe	Brógán	Ben	Βαβυλος	András	Árni	Aditya	Claudio	一真	성철	Андреј	Bjørnar	Danilo	Алексей	Aleksandar	Alojzij	Agustín	Anders	Bá Hiệp
